OBJECTID *,Name,Description,Map,WEBSITE,Latitude,Longitude,PIC_URL
18,St. Elias Lake,,https://pcweb.azureedge.net/-/media/pn-np/yt/kluane/WET4/activ/Hiking/Trails-and-routes/St-Elias-Lake/St-Elias-Lake_carte-map.jpg,https://www.pc.gc.ca/en/pn-np/yt/kluane/activ/randonnee-hiking/st-elias,60.318,-137.103,https://lh3.googleusercontent.com/pw/AL9nZEUJzI9jGoNJuQni-G6wZHVD3gqngSBrhI_TE3GBcnKoZ3tey0oBVaD6vsIlVlMnHXaUIUgIVvZ2vQRboYviTlorxdcBUlBjftw8WUEkom8LU05_JNtL6lwDtSPF0nOJaNeret32zz9F8_VjeIDITMSt_Q=w1250-h937-no?authuser=0
19,Grizzly Lake,,https://yukon.ca/sites/yukon.ca/files/env/env-planning-trip-tombstone.pdf#page=35,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/tombstone-territorial-park-grizzly-lake-campground,64.427,-138.46,https://lh3.googleusercontent.com/pw/AL9nZEVQzHsrVjC7585S5KOd9Ii4QCRVleLki6Y23ic4OXH8hqZskg-RumN-Wc2uNuoY1WdBgc8qVXREQGlAynsDajngpwsUmmlqYsqaY5Zjq9uY61kZSGFfC1-tJDqaceQrqqXoBvyqp9H6Hc765MYUsV_xzA=w1250-h937-no?authuser=0
20,Divide Lake,,https://yukon.ca/sites/yukon.ca/files/env/env-planning-trip-tombstone.pdf#page=35,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/tombstone-territorial-park-divide-lake-campground,64.453,-138.49,https://lh3.googleusercontent.com/pw/AL9nZEUbjn_RqGMiwBITmT8qTxYYG_1F2UHe9oqFLk6HBTcFK4-BKKYL93U_Aau5YckZJBqxlNyEZJb6_hL-QKKN4tZM6Wxlq_zqVHKIaIuiZRIrBcT_To5VMSJ1Kr8rMZAYBdY6pzJJJ5Xr1xRmwmD-nD_JRg=w1600-h929-no?authuser=0
21,Watson Lake,This campground lies on the south shore of Watson Lake. It is an ideal spot for weekend family camping and for visitors to the community of Watson Lake. There are two camping areas and a day-use area.,https://yukon.ca/sites/yukon.ca/files/env/env-watson-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/watson-lake,60.071,-128.818,https://lh3.googleusercontent.com/pw/AL9nZEX4_2bXR7JoGELNNjgbFMGyizusyiQE7npLIIudzV1UoW3_HjZx5dNzJI8rAQVZeVb2-5mc-8eeqdSzs4TXs_NlOexswAhWtxpZcLkQvUU6SaoycsaH5rl3-QIYty97LxUr5eirH78srvQgAqg2_StKnA=w422-h937-no?authuser=0
22,MacDonald Campground,,https://bcparks.ca/explore/parkpgs/muncho_lk/muncho_lake.pdf,https://bcparks.ca/explore/parkpgs/muncho_lk/muncho_lk_broch.pdf,59.02,-125.773,https://lh3.googleusercontent.com/pw/AL9nZEV59eJ-dRWej_kfGhFHnmeBr5w90NGxJ6kGNBY8_EJ5hNtYGX589bjvjGnkBAiabGDTe2lK2mYeoK2Tz3tAX83FDEFYmvgG5pjdYz0LQ-mVfMFLDk6t_THqHMVN2F9PmDVs0EEhSIcuAmNj4stCwygaEg=w1250-h937-no?authuser=0
23,Fox Lake,"Close to the highway, this campground provides ready access to Fox Lake, a favourite for boaters. The sheltered bay at the south end of the lake makes for a great canoeing spot. Muskrats are a common sight as they feed on aquatic vegetation.",https://yukon.ca/sites/yukon.ca/files/env/env-fox-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/fox-lake,61.248,-135.459,https://lh3.googleusercontent.com/pw/AL9nZEVcIj-OhsHoZKSlwAwEm7Q_a5tG745HSqlTWr4e8nMO0-azgsFHRZGnBejVX9nWm-_mWNMJeswWoSmiEo4FFBx1utqsUVm_KKuF66bYHytRTpRaOdId_ypDRPHlD_kjd8QDsZFfFbU6MXeApl1LxKRVJg=w703-h937-no?authuser=0
24,Marsh Lake,"A popular beach in summer, Marsh Lake Campground has two loops with many sites adjacent to the lake. M'Clintock Bay is an important rest stop for thousands of trumpeter swans and other waterbirds on their spring migration. Visit the nearby Swan Haven Interpretive Centre during the month of April.",https://yukon.ca/sites/yukon.ca/files/env/env-marsh-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/marsh-lake,60.561,-134.448,MarshLake.mp4
25,Pine Creek,,https://www.for.gov.bc.ca/ftp/DCO/external/!publish/RecSitesTrails/SIGN_MAKER_RESOURCES/Brouchure_Examples/Atlin%2032%20x%2036%20sign%20no%20lines.pdf,,59.56,-133.67,https://lh3.googleusercontent.com/pw/ADCreHdDGqZ9ZkzGr_kQVjOnt4DRVStIA5UA15SVbbK4ACNG5pxh51hGOBPSmw2pm3fJpXnToAOcZOrF2E96G5Nsd7r24yM97ITe89wqNDs899dD0hvpBT1hALM_mCQtodvVu1Wu3A-s1BxB2nYi8N9Vn47UEw=w1241-h931-s-no?authuser=0
26,Alsek Valley,,https://pcweb.azureedge.net/-/media/pn-np/yt/kluane/WET4/activ/Hiking/Trails-and-routes/Alsek/alsek-valley_carte-map.jpg,https://www.pc.gc.ca/en/pn-np/yt/kluane/activ/randonnee-hiking/alsek,60.668,-137.863,https://lh3.googleusercontent.com/pw/AL9nZEWklTSn8PWffB6i9cpgHlrOC3OTXmTy69wroa0QKgbgQH69UCLKzl5SJTNcUmkc_Xe3RcqDAndgu5xOTdVlvq4P8KmBDoOuyvCvaveSXrvMZdKipDimU9B6hrsIwVdYG0DCpagkdgqmNErAxp3S1sR5nA=w703-h937-no?authuser=0
27,Egg Island,,,,60.861,-135.185,https://lh3.googleusercontent.com/pw/AL9nZEUJP4YPSmawsfEVwBkDy-g2BuuGHjmqbPyb9mKQy1Dn1mBXgG1Te1rpEg7Ql7J5J2cPKVrBlur6VG7LYTT1qbbIsEzDY1gtrTcynyugWmJvup3QtL3H3B4H6HwGl-2xFf6oW-hqhAbw4N-Qv2JafQ-3ww=w472-h937-no?authuser=0
28,Frenchman Lake,"This small, cozy campground offers good access to Frenchman Lake for boating and swimming from the dock. Check for road conditions before you go, and drive carefully on this winding gravel road, especially after rain.",https://yukon.ca/sites/yukon.ca/files/env/env-frenchman-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/frenchman-lake,62.118,-135.698,https://lh3.googleusercontent.com/pw/AL9nZEX0M_60rWKaFWMkNsWrWn7OzYq2T90LKlPNGZLT2h4dXfKgp0HzWqBjzdy17azzKDMzcevna_qnRyOBBMlKaO7jVLWUz0WBnLjIbrZafdtV67bzqMzzf71ivw7E2Avqmvmh18cjjeMftvLc0IflkVLqFw=w703-h937-no?authuser=0
29,Nunatuk,"From the Inuktitut word nunataq, Nunatuk refers to a mountain peak surrounded by a glacier. This campground provides good boat access to Frenchman Lake and a mix of sites in the forest and along the lake.",https://yukon.ca/sites/yukon.ca/files/env/env-nunatuk-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/nunatuk,62.164,-135.799,https://lh3.googleusercontent.com/pw/AL9nZEUDHi6c2x7ZE8-yQlfr19xQNUNYfVz0eEaXD7kpjTod0zkBpdMneh6E7IzAVGGlB4hbxBSD95w2cdLwzHGa9mLKlqwuGLUgKUamuDaVuPPwMk9sA10o4jjoAcqCbIUAPns96pOzXuqvyb4iSp6rwVffQg=w422-h937-no?authuser=0
30,Chilkat State Park,,http://dnr.alaska.gov/parks/maps/chilkatsp.pdf,http://dnr.alaska.gov/parks/aspunits/southeast/chilkatsp.htm,59.1447,-135.375,https://lh3.googleusercontent.com/pw/AL9nZEUkyrYSg3pkgl3efPad-pAry2GQhWnuTTWPcU790Kg3ukeavDYXLy-qtvgk9d8YtzRBbm-rOY7DkiWqRBsH3KcWovDvOzIAmLhWsXht4L6gcr_96LS71U_D32-rp70IM9ixQlttJj5vd6vl0EYKWH8CUg=w1250-h937-no?authuser=0
31,Pine Lake,"This popular campground and day-use area, close to Haines Junction, provides an excellent view of the Kluane and St. Elias Mountains. The Southern Tutchone name is Tsí Män, “red ochre lake,” referring to the crumbly red rock seen on Paint Mountain across the lake. There is a sandy beach with a swimming platform and a short interpretive trail and wheelchair-accessible boardwalk along the lake.",https://yukon.ca/sites/yukon.ca/files/env/env-pine-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/pine-lake,60.799,-137.489,https://lh3.googleusercontent.com/pw/AL9nZEUE1rYkazgzJGo_hl03C_pp5U3ukgej9CPWS3C2tGhRla8cIpYd4H20LghfnAgT8czngnn8ZsOBTKTibvHVCwktPs8eD4QDdIYIZaLO_cNE9__Zr_Pd2IW8A2gxK7-B5jLQWE5omss3aDhctpmQ1h4YBg=w1250-h937-no?authuser=0
32,Summit Creek,,,,59.668,-135.113,https://lh3.googleusercontent.com/pw/AL9nZEXVbA5G5LyaIOwICdvwt1OvxuV1PfhjcT40nYfoKqsiqfCVutBDDJ4AEv_B3rY7qPtx5z2-QRPEwkYn13kDDJoYlyOIpN9nudpcb95UsgETM6vCFon21obyCwhWEHJzYFBt5gDPTISS6uG42if2VqtXQA=w703-h937-no?authuser=0
33,Auroa Mine Site,,,,60.043,-134.684,https://lh3.googleusercontent.com/pw/AL9nZEXZRzTDiAkRRuepAxYAFaw8R--TVv_StBpFyWpDm9JQ0SoiIiuJ7-8B54_KepxJoTOI6Ce3galh6muBEzGZ5uZyYKC2fU5G2DjndXl3ZsruJbWyzj9PbxgYQeJ0tKR-NElQqSb7jdnBGfQdpRmrdBbtJA=w1250-h937-no?authuser=0
34,Quiet Lake South,"This beautiful campground sits in a quiet forest of lodgepole pine and white spruce. Good access to the water makes this a great place to go boating. The open forest and rocky area provides a natural playground for kids. Look for American mink, moose, coyote and songbirds on the shore. The lake’s Tlingit and Northern Tutchone names (Kìt Den Â and Chu L?) refer to its high location as a headwater.",https://yukon.ca/sites/yukon.ca/files/env/env-quiet-lake-south-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/quiet-lake-south,61.059,-133.027,
35,Sturgill's Landing,,,,59.4222,-135.3396,https://lh3.googleusercontent.com/pw/AJFCJaUvWpQQYmWFZFGj2dl6tJsoGtK-rQ1bwnW-p3zozi8U1iX1XEjC99mRu3aipjuwDjZTRFsFG_cYUtWGItfh0j3K2AFh8ji8nePE-8N8ARQ58r9nSoayLqDwfw3jKbqiPtOAv8zD1oaxCe6tjSbXvOP2CA=w703-h937-s-no?authuser=0
36,Twin Lakes,"Surrounded by open aspen forest, the campground includes several sites that look out over the lake. The quiet lake is a great place to canoe, kayak, swim or fish. Hearing a loon call on a misty morning can be magical. There are several trails in the area.",https://yukon.ca/sites/yukon.ca/files/env/env-twin-lakes-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/twin-lakes,61.705,-135.936,
37,Five Mile Lake,"The water in the nearby lake is warmer than most in Yukon, making it a popular swimming hole. The campground and nearby recreation site are situated on the lakefront under a dense cover of black and white spruce and willow. An easy five-kilometre trail jogs around the lake and connects the two sites. Many campers make a trip to Keno from here.",https://yukon.ca/sites/yukon.ca/files/env/env-five-mile-lake-campground_1.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/five-mile-lake,63.652682,-135.889123,https://lh3.googleusercontent.com/pw/ADCreHfVIqTkzfGiaJOTmeBswRQepxQCYESWOmJSwyQHEjcoQ-uF4ZZzaqGjLX7jKi8phTLcHZeJaKiuDle4CiQZqPqOAeykaC-WeAlh0-4_-9vY7fbkV_1-8COj37FiqY32FXbnVUVna_jiwQYDVIlvOZO4qQ=w1241-h931-s-no?authuser=0
38,Squanga Lake,The campground sits on the shore of Squanga Lake and has two floating docks. Squanga is the name of a variety of whitefish that is found here. Look for signs of the little brown bat at the bat house.,https://yukon.ca/sites/yukon.ca/files/env/env-squanga-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/squanga-lake,60.445,-133.603,https://lh3.googleusercontent.com/pw/AIL4fc-Z9NgMf-akqhIShmgGivIHOhrE5xohNo6mEwttBQ_Rjgl6IDO7w37pnoR2umJkuUm652j2KDn3urstbIMGrUrxAtv-gJS5cTjVrhr2YhCyQ6r3vZ5eW0nlQOz8s6kL2uqec3jLaKBgW6BeEgG0QagvGg=w1241-h931-s-no?authuser=0
39,Tarfu Lake,"In addition to its good paddling opportunities, Tarfu Lake is also a good place to spot mule deer and common nighthawk. Tarfu is an old military saying, meaning “Things Are Really ‘Fouled’ Up.” Check for special fishing restrictions at this lake that help protect sensitive lake trout populations.",https://yukon.ca/sites/yukon.ca/files/env/env-tarfu-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/tarfu-lake,60.063427,-133.754488,https://lh3.googleusercontent.com/pw/ADCreHfZcv4UQqdH2ortp2yC0V47QZK8cGctrv8IUcTGRigQbX5tngipaJkoyC7zHvP7vzt_XNVeYHCdoGwKSJj8GaHUJx7TAgXgpoZKznAfeiK-Ik7gEOixW1iZMkFG7FqRfiykA74szzWmIk_dHiy24avAfw=w983-h931-s-no?authuser=0
40,Dyea Flats,,https://www.skagway.org/sites/default/files/fileattachments/public_works/page/44491/dyea_flats_campground_registration_and_rules.pdf,https://www.alaska.org/detail/dyea-campground,59.497616,-135.355353,https://lh3.googleusercontent.com/pw/AP1GczMMH2ibTjuUThO5ZcOtGjr81pA-4o2VzUuZvt-YvXS6raTEcRZodiWb-ASyIL_cy97zh18qMM3LF-E2AxiaYMXZpYo712LcgPS7-ulv-ziNrkiZTkyud4WBnXJPbNdCeAgdWUMBvY_9Q_FaxCUAlKGI_A=w1705-h1279-s-no-gm?authuser=0
41,Yukon River Hike Camp,,,,60.633409,-134.923009,https://lh3.googleusercontent.com/pw/AP1GczPQIKCjefCCQki3NrCNRvdb2Aq21rZANCk6Y75zBT_9o58xXBExh9SwuFkVI6d7BaVBd9bt0TrscswmkXLa1L40Z75XZCq2nt18xk4lH75Q356WbPJV5puYLnpODtUfxhdK-5DYO2ZSe5kMNtlig3_l2g=w2200-h990-s-no-gm?authuser=0
42,Little Salmon Lake,This campground occupies a large open area right by the water on the west end of Little Salmon Lake. It’s Northern Tutchone name Chu Cho means “big water” so beware of winds and waves.,https://yukon.ca/sites/yukon.ca/files/env/env-little-salmon-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/little-salmon-lake,62.181237,-134.965644,https://lh3.googleusercontent.com/pw/AP1GczM4DlXCGTGcO5O3Ln4h9NeW7PUUjbt1vKppM2Dw6kxQpJcWzcIQ7H37zvWTaOeaAB8KIDDKrFBC3Cvuwbl2tMu796uTmL75z096Ia_MJAKTXHVPoH5FfyclyhyB_MbcyyCRnOD5CoWS4iFNWBS16Lg0TQ=w2940-h1655-s-no-gm?authuser=0
43,Fort William H. Seward,,,,59.227496,-135.444088,https://lh3.googleusercontent.com/pw/AP1GczMZk60RRQixXBgQfuXI_neBeFvsbWWIEt6j0dY-moXZPueC91pI_MQGt48p79oLFE0xNWNnxDTy_NjBUMjw7pRoa1hOSbGB6qGk-QtzF8Al1LFHOHns1j5Y8xGC_bZG9N4C6t5HTve8gCPhQOx76lbSKg=w576-h1279-s-no-gm?authuser=0
44,Lapie Canyon,A trail follows the edge of this small canyon. This is a great place for kayaking canoeing and rafting if you're up for braving the rapids. The canyon walls are home to many cliff nesting birds including ravens and the rare Yukon goldenweed blooms here,https://yukon.ca/sites/yukon.ca/files/env/env-lapie-canyon-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/lapie-canyon,61.981,-132.605,
45,Peerless Mine Site,,,,60.091194,-134.699103,https://lh3.googleusercontent.com/pw/AP1GczNWuj4r3FdhT_uibgVBRLUP9mH7-j5F3DdbOYHcYk2IiWm7y0wSrloe1SpGJmWc-uzT97izlkWw1CmWEYm88GI3TJmAwE3NY3PlluHlYI0zF7ZMegGJuphnw89OVWwQOzIIglJu6tHz0NSMtXZqSbBHCg=w1705-h1279-s-no-gm?authuser=0
